Titik	Latitude	Longitude	Keterangan	Waktu1	Waktu2	Waktu3	F1	F2	F3
R.25	9225210	672660	-	2022-04-23 23:46:22	2022-04-23 23:46:32	2022-04-23 23:46:42		45265.89	45266.32
R.26	9225210	672667	-	2022-04-23 23:48:06	2022-04-23 23:48:16	2022-04-23 23:48:26	45281.02	45280.82	45280.75
R.27	9225200	672674	-	2022-04-23 23:49:54	2022-04-23 23:50:04	2022-04-23 23:50:14	45286.94	45287.91	45288.26
R.28	9225190	672681	-	2022-04-23 23:51:48	2022-04-23 23:51:57	2022-04-23 23:52:07	45291.61	45292.15	45291.52
R.29	9225190	672688	-	2022-04-23 23:53:29	2022-04-23 23:53:39	2022-04-23 23:53:49	45325.9	45325.44	45325.78
S.29	9225180	672681	-	2022-04-23 23:59:17	2022-04-23 23:59:26	2022-04-23 23:59:36	45327.69	45327.56	
S.26	9225200	672660	-	2022-04-24 00:05:56	2022-04-24 00:06:06	2022-04-24 00:06:16	45213.85	45214.15	45214.1
S.27	9225190	672667	-	2022-04-24 00:04:03	2022-04-24 00:04:13	2022-04-24 00:04:24	45297.59	45296.31	45295.76
S.28	9225190	672674	-	2022-04-24 00:01:39	2022-04-24 00:01:50	2022-04-24 00:02:00	45297.91	45298.08	45298.9
T.26	9225189	672656	-	2022-04-24 00:07:45	2022-04-24 00:07:55	2022-04-24 00:08:06	45228.68	45227.82	45227.4
T.27	9225190	672659	-	2022-04-24 00:09:29	2022-04-24 00:09:40	2022-04-24 00:09:50		45263.42	45264.96
T.28	9225180	672667	-	2022-04-24 00:11:10	2022-04-24 00:11:20	2022-04-24 00:11:30	45259.04	45259.76	45259.99
