Titik	Latitude	Longitude	Keterangan	Waktu1	Waktu2	Waktu3	F1	F2	F3
I.08	9225400	672604	-	2022-04-23 02:35:35	2022-04-23 02:35:46	2022-04-23 02:35:56		45055.45	45054.27
I.09	9225390	672611	-	2022-04-23 02:33:54	2022-04-23 02:34:04	2022-04-23 02:34:14	45044.15	45044.05	
I.11	9225380	672625	-	2022-04-23 02:30:54	2022-04-23 02:31:04	2022-04-23 02:31:14	45159.6	45158.46	45159.47
I.12	9225370	672632	-	2022-04-23 02:29:23	2022-04-23 02:29:33	2022-04-23 02:29:43		45193.92	45196.34
I.15	9225350	672653	-	2022-04-23 02:24:39	2022-04-23 02:24:51	2022-04-23 02:25:01	44918.32	44918.36	
I.16	9225340	672660	-	2022-04-23 02:23:03	2022-04-23 02:23:13	2022-04-23 02:23:23	45115.6		45114.17
I.17	9225330	672667	-	2022-04-23 02:21:15	2022-04-23 02:21:25	2022-04-23 02:21:35		45054.8	45052.78
I.18	9225330	672674	-	2022-04-23 02:19:38	2022-04-23 02:19:48	2022-04-23 02:19:58	45222.54	45221.57	
I.19	9225320	672681	-	2022-04-23 02:18:03	2022-04-23 02:18:12	2022-04-23 02:18:22		45150.39	45149.99
I.20	9225310	672688	-	2022-04-23 02:16:16	2022-04-23 02:16:26	2022-04-23 02:16:36	45285.79	45283.56	45284.03
I.21	9225310	672695	-	2022-04-23 02:14:23	2022-04-23 02:14:32	2022-04-23 02:14:42	45398.01	45399.91	
I.22	9225300	672702	-	2022-04-23 02:12:49	2022-04-23 02:12:50	2022-04-23 02:13:00	45334.9		45337.53
I.24	9225280	672716	-	2022-04-23 02:09:50	2022-04-23 02:10:00	2022-04-23 02:10:10		45156.35	45156.49
I.25	9225280	672724	-	2022-04-23 02:08:28	2022-04-23 02:08:38	2022-04-23 02:08:48	45207.55	45208.62	45208.36
I.26	9225270	672731	-	2022-04-23 02:07:06	2022-04-23 02:07:17	2022-04-23 02:07:27	45197.92	45197.32	45198.16
I.27	9225260	672738	-	2022-04-23 02:05:34	2022-04-23 02:05:45	2022-04-23 02:05:55	45260.49	45259.27	45258.8
I.28	9225260	672745	-	2022-04-23 02:04:06	2022-04-23 02:04:16	2022-04-23 02:04:26		45266.42	45264.7
I.29	9225250	672752	-	2022-04-23 02:02:37	2022-04-23 02:02:47	2022-04-23 02:02:57	45289.31	45289.29	
I.30	9225240	672759	-	2022-04-23 02:00:40	2022-04-23 02:00:50	2022-04-23 02:01:00	45031.25	45031.47	
J.02	9225430	672554	-	2022-04-23 02:50:54	2022-04-23 02:51:04	2022-04-23 02:51:14	45127.24		45126.97
J.03	9225430	672561	-	2022-04-23 02:52:19	2022-04-23 02:52:29	2022-04-23 02:52:39		45139.46	45137.44
J.04	9225420	672568	-	2022-04-23 02:53:42	2022-04-23 02:53:52	2022-04-23 02:54:02		45156.36	45155.49
J.05	9225410	672575	-	2022-04-23 02:55:05	2022-04-23 02:55:15	2022-04-23 02:55:25	45173.71	45173.73	45173.62
J.06	9225400	672582	-	2022-04-23 02:56:32	2022-04-23 02:56:42	2022-04-23 02:56:52		45129.67	45129.32
J.07	9225400	672589	-	2022-04-23 02:58:00	2022-04-23 02:58:10	2022-04-23 02:58:20	45125.5	45124.51	
J.08	9225390	672596	-	2022-04-23 02:59:31	2022-04-23 02:59:41	2022-04-23 02:59:51	45091.45	45091.66	45090.58
J.09	9225380	672603	-	2022-04-23 03:01:00	2022-04-23 03:01:11	2022-04-23 03:01:21		45050.53	45051.07
J.10	9225380	672611	-	2022-04-23 03:02:35	2022-04-23 03:02:45	2022-04-23 03:02:55	45054.91	45055.65	45054.76
J.13	9225350	672632	-	2022-04-23 03:08:01	2022-04-23 03:08:11	2022-04-23 03:08:21	44972.64	44972.69	44972.48
J.14	9225350	672639	-	2022-04-23 03:09:27	2022-04-23 03:09:37	2022-04-23 03:09:47		45128.57	45129.09
J.15	9225340	672646	-	2022-04-23 03:10:58	2022-04-23 03:11:08	2022-04-23 03:11:18	45091.99	45091.24	45090.68
J.16	9225330	672653	-	2022-04-23 03:12:19	2022-04-23 03:12:29	2022-04-23 03:12:39	45203.38	45203.85	45203.16
J.17	9225330	672660	-	2022-04-23 03:13:57	2022-04-23 03:14:07	2022-04-23 03:14:17	45148.84	45148.73	45149.17
J.18	9225320	672667	-	2022-04-23 03:15:33	2022-04-23 03:15:43	2022-04-23 03:15:53	45158.42	45158.37	45159.37
J.19	9225310	672674	-	2022-04-23 03:17:21	2022-04-23 03:17:31	2022-04-23 03:17:41	45194.02	45195.5	45194.56
J.20	9225310	672681	-	2022-04-23 03:19:15	2022-04-23 03:19:25	2022-04-23 03:19:35		45457.15	45458.48
J.21	9225300	672688	-	2022-04-23 03:20:43	2022-04-23 03:20:53	2022-04-23 03:21:03	45626.43	45626.66	
J.23	9225280	672702	-	2022-04-23 03:26:49	2022-04-23 03:27:00	2022-04-23 03:27:10		44562.91	44562.09
J.24	9225280	672709	-	2022-04-23 03:28:25	2022-04-23 03:28:36	2022-04-23 03:28:46	44872.98		44874.3
J.25	9225270	672716	-	2022-04-23 03:30:34	2022-04-23 03:30:44	2022-04-23 03:30:54	45216.23		45216.96
J.26	9225260	672723	-	2022-04-23 03:32:47	2022-04-23 03:32:57	2022-04-23 03:33:07	45229.56	45228.56	
J.27	9225260	672731	-	2022-04-23 03:34:11	2022-04-23 03:34:21	2022-04-23 03:34:31		45272.68	45273.79
J.28	9225250	672738	-	2022-04-23 03:35:51	2022-04-23 03:36:02	2022-04-23 03:36:12	45292.09	45291.98	45290.95
J.29	9225240	672745	-	2022-04-23 03:37:27	2022-04-23 03:37:37	2022-04-23 03:37:47		45306.81	45306.64
J.30	9225230	672752	-	2022-04-23 03:39:04	2022-04-23 03:39:14	2022-04-23 03:39:24		45308.89	45307.63
K.02	9225430	672547	-	2022-04-23 04:28:53	2022-04-23 04:29:03	2022-04-23 04:29:13	45126.1	45125.31	45126.68
K.03	9225420	672554	-	2022-04-23 04:27:21	2022-04-23 04:27:31	2022-04-23 04:27:41	45151.71		45151.98
K.04	9225410	672561	-	2022-04-23 04:25:52	2022-04-23 04:26:02	2022-04-23 04:26:12		45299.57	45299.58
K.05	9225400	672568	-	2022-04-23 04:23:53	2022-04-23 04:24:03	2022-04-23 04:24:13	45361.44		45359.01
K.06	9225400	672575	-	2022-04-23 04:21:49	2022-04-23 04:22:00	2022-04-23 04:22:10	45121.38	45120.43	45122.22
